"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전주시",648863,650082,652877,652282,651744,648964,651091,654394,657432,657269,651495,642727
"완산구",363986,363694,364872,365605,361845,359012,345065,338839,339718,335804,332573,327178
"덕진구",284877,286388,288005,286677,289899,289952,306026,315555,317714,321465,318922,315549
"군산시",278341,278319,278098,278398,277551,274997,272645,270131,267859,265304,262467,259980
"익산시",306469,306539,304117,302061,300479,300187,294062,287771,282276,278113,273697,270036
"정읍시",119392,118328,117183,115977,115173,113776,112169,110541,108508,106487,105081,103620
"남원시",87000,86460,85643,84856,84188,83281,82554,81441,80662,79431,77948,76781
"김제시",92317,91218,90108,88721,87782,86926,85331,83895,82450,80913,81455,81430
"완주군",86164,86978,90377,95303,95480,95975,94444,92220,91609,91142,92422,97827
"진안군",26963,26703,26474,26203,26069,26271,25963,25697,25394,24987,24550,24465
"무주군",25321,25398,25390,25220,24949,24809,24589,24303,24036,23748,23489,23251
"장수군",23191,23243,23335,23277,23628,23003,23221,22441,22085,21695,21336,20983
"임실군",29956,29739,29966,30271,30197,30162,30072,28902,27314,26730,26508,25956
"순창군",30055,30272,30368,30248,29949,29698,29209,28382,27810,26855,26727,26764
"고창군",60440,60522,60090,60046,60597,60472,57041,55504,54529,53386,52338,51750
"부안군",58869,59164,57534,56848,57005,56086,54441,53295,52140,50795,50094,49187
"전라남도",1909618,1907172,1905780,1908996,1903914,1896424,1882970,1868745,1851549,1832803,1817697,1804217
"목포시",245073,240936,239109,238382,237739,234379,232327,229861,224044,218589,216939,214156
"여수시",292217,291366,290900,290168,288988,286382,283300,282786,280242,276762,274765,271696
"순천시",273798,275668,277188,278765,278548,279331,279389,279598,282189,281436,278737,278137
"나주시",88067,87754,90669,98182,104376,110110,113839,114664,115613,116726,116456,117377
"광양시",150837,151621,152097,153587,155580,155857,156564,156750,151769,150531,152168,152666
"담양군",47612,47365,47177,47009,47229,47285,46917,46535,46280,46180,45792,45373
"곡성군",30878,31009,30732,30672,30400,30131,29624,28887,28039,27535,27060,26905
"구례군",27077,27115,27170,27308,27412,27525,27117,26563,25719,25235,24655,24314
"고흥군",71560,70631,69641,68601,67656,66736,65777,64913,63922,62762,61880,61113
"보성군",47050,46385,45882,45349,44469,43755,42803,41420,40482,39375,38471,37686
"화순군",68378,67829,66772,65848,65303,64680,63933,62737,62522,62624,62024,61254
"장흥군",42672,43004,43190,43513,40669,40136,39312,38563,37800,36547,35650,35046
"강진군",40241,40079,39861,38758,37753,36868,36144,35286,34597,33753,33177,32722
"해남군",78150,77684,76981,76194,75121,73604,71901,70354,68806,67166,65831,64575
"영암군",59997,59061,58852,58137,57045,55616,54731,54593,53699,52937,52395,52350
"무안군",75741,79367,81696,82236,82109,82872,81991,81105,86132,91107,90608,90296
"함평군",35780,35610,35090,34876,34397,34328,33420,32861,32050,31274,30784,30601
"영광군",57224,57617,56833,56267,55618,54774,54127,53852,53099,51985,52197,51750
"장성군",46289,46292,46273,46360,46104,46111,45795,45739,44464,43365,43146,42543
"완도군",53871,53619,53174,53014,52668,52109,51477,50689,49916,48631,47597,46641
"진도군",33208,32998,32746,32476,32078,31765,31219,30715,31227,30066,29507,28979
"신안군",43898,44162,43747,43294,42652,42070,41263,40274,38938,38217,37858,38037
"경상북도",2698353,2699440,2700794,2702826,2700398,2691706,2676831,2665836,2639422,2626609,2600492,2554324
"포항시",518913,519467,519368,519584,516775,513832,510013,507025,502916,503852,496650,493033
"남구",251434,249709,247649,246445,244748,242469,239400,235633,230422,230801,227486,226278
"북구",267479,269758,271719,273139,272027,271363,270613,271392,272494,273051,269164,266755
"경주시",264091,263283,261535,259773,259452,257903,256864,255402,253502,251889,249607,247489
"김천시",135504,135259,135456,140132,142256,142908,141104,141229,140548,140239,139324,137515
"안동시",168302,168461,168697,169221,168798,166272,162180,160052,158907,156972,154610,152935
"구미시",416949,419428,420320,419915,419891,421799,421494,419742,416328,412581,408110,405506
"영주시",113547,112625,110780,109735,109247,108371,106801,105067,103119,101942,100749,100199
"영천시",101798,100778,100689,100648,100521,100615,101595,102470,102015,101888,101088,100212
"상주시",104182,103346,102892,102374,101799,100947,100297,100688,97228,95566,94823,93858
"문경시",75899,75664,75911,75784,74702,73294,71874,72242,71406,71154,70373,68755
"경산시",246358,248805,253968,256888,258037,259485,261093,263185,263728,268369,267725,266205
"군위군",24119,24172,24170,24126,24171,24215,23919,23843,23256,22945,23340,-
"의성군",57043,56064,55212,54477,54014,53474,52944,52595,51724,50632,50186,50086
"청송군",26481,26470,26453,26384,26301,26006,25678,25416,25044,24539,24295,24019
"영양군",18208,18297,18197,17898,17713,17479,17356,16993,16692,16320,16022,15661
"영덕군",40257,40142,39586,39191,39052,38529,38108,37361,36313,35314,34650,34055
"청도군",43968,43788,43993,43724,43564,43346,43057,42910,42263,41891,41614,41316
"고령군",35343,35198,35033,34594,34257,33768,32969,32373,31361,30626,30353,30139
"성주군",45127,45067,44981,45029,45205,45138,44672,44015,43414,42842,42566,42086
"칠곡군",119786,121182,122058,122829,123199,120864,118828,117047,114758,113822,112487,110581
"예천군",46027,45573,45104,44674,46166,49253,53274,55100,55613,55739,55755,55325
"봉화군",33934,33894,34023,33808,33539,33259,32843,32150,31494,30762,30139,29603
"울진군",51844,51953,52104,51885,51738,50974,50036,49314,48716,47858,47030,46669
"울릉군",10673,10524,10264,10153,10001,9975,9832,9617,9077,8867,8996,9077
"경상남도",3319314,3333820,3350257,3364702,3373871,3380404,3373988,3362553,3340216,3314183,3280493,3251158
"창원시",1091471,1083731,1075168,1070064,1063907,1057032,1053601,1044740,1036738,1032741,1021487,1009038
"의창구",255394,255816,258250,256471,252435,253349,252896,258582,262408,218027,215823,213342
"성산구",246801,242870,238414,234399,231571,227942,227337,220945,214570,251562,248512,245259
"마산합포구",185505,183365,182223,181670,181797,181917,180535,177784,175716,181322,179496,179394
